index;Label;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10
4;3rd Ventricle                                            ;0;30.6662;49.7739;27.2833;7.2673;-3.0484;-5.3689;-3.8028;-1.8495;-0.7009;-0.2203
11;4th Ventricle                                            ;0;0.9028;101.0457;15.8894;-1.1398;-6.2912;-6.4514;-2.9952;-0.7999;-0.1419;-0.0184
23;Right Accumbens Area                                     ;0;62.2574;40.6779;10.8578;-1.2991;-4.1186;-3.6035;-2.3609;-1.3188;-0.6593;-0.3028
30;Left Accumbens Area                                      ;0;8.6941;72.4662;30.7329;1.9886;-5.7864;-5.3058;-2.181;-0.518;-0.0813;-0.0092
31;Right Amygdala                                           ;0;45.5527;50.9667;16.721;0.815;-4.082;-4.3645;-3.0015;-1.6077;-0.7195;-0.2802
32;Left Amygdala                                            ;0;58.0521;31.6025;13.0753;3.396;-0.6286;-1.7111;-1.5786;-1.12;-0.6938;-0.3937
35;Brain Stem                                               ;0;37.6741;36.3159;20.1683;8.9453;3.3763;-7.1236;0.4379;0.1448;0.0465;0.0146
36;Right Caudate                                            ;0;57.2259;44.485;17.4335;5.2603;-0.6738;-22.9409;-0.81;0.0159;0.0034;0.0007
37;Left Caudate                                             ;0;0;106.488;2.6293;-1.7115;-2.3099;-2.1049;-1.4803;-0.8662;-0.4418;-0.2026
38;Right Cerebellum Exterior                                ;0;26.1181;49.6436;32.0018;14.3961;-13.2939;-9.5886;0.4869;0.1727;0.0495;0.0138
39;Left Cerebellum Exterior                                 ;0;34.244;53.3403;26.1106;4.7078;-3.7245;-5.2168;-4.2151;-2.7734;-1.6135;-0.8594
40;Right Cerebellum White Matter                            ;0;0.1997;99.4632;28.5987;-3.2669;-7.3695;-7.6968;-5.41;-2.8599;-1.2192;-0.4394
41;Left Cerebellum White Matter                             ;0;50.5232;70.7216;4.5353;-3.6367;-6.2266;-6.3787;-4.7452;-2.8022;-1.3896;-0.601
44;Right Cerebral White Matter                              ;0;0.0116;59.9299;53.13;0.3972;-8.7506;-4.3602;-0.3504;-0.0075;-0.0001;0
45;Left Cerebral White Matter                               ;0;2.0996;60.6132;43.3408;5.2206;-3.4751;-3.5815;-2.3046;-1.1883;-0.5222;-0.2026
46;CSF                                                      ;0;28.5787;56.2069;26.6178;4.0984;-4.0954;-4.9019;-3.4007;-1.8615;-0.8749;-0.3675
47;Right Hippocampus                                        ;0;21.5866;71.5166;21.4441;-2.5562;-6.129;-3.8196;-1.4984;-0.429;-0.0969;-0.0182
48;Left Hippocampus                                         ;0;1.7848;48.8988;49.1627;12.4725;-2.0677;-4.2723;-3.175;-1.7348;-0.7737;-0.2953
49;Right Inf Lat Vent                                       ;0;42.1503;41.0609;22.0487;7.5367;-2.5536;-5.3917;-3.3283;-1.1943;-0.2849;-0.0438
50;Left Inf Lat Vent                                        ;0;50.4526;37.9642;17.384;3.1238;-3.1228;-3.2891;-1.7034;-0.6086;-0.1655;-0.0352
51;Right Lateral Ventricle                                  ;0;13.8365;46.7619;34.3484;13.4504;1.3725;-3.0768;-3.2716;-2.061;-0.9794;-0.3808
52;Left Lateral Ventricle                                   ;0;36.0494;44.7579;21.423;5.1036;-1.1343;-2.3146;-1.8391;-1.1341;-0.611;-0.3008
55;Right Pallidum                                           ;0;22.4049;48.3554;28.9614;8.2651;-0.6591;-2.6225;-2.1993;-1.3814;-0.7518;-0.3727
56;Left Pallidum                                            ;0;19.5148;55.5114;31.4315;8.206;-6.7484;-6.2199;-1.5304;-0.1594;-0.0063;0.0005
57;Right Putamen                                            ;0;3.7565;69.8053;37.4903;3.3912;-3.5762;-3.8027;-2.9102;-1.9451;-1.1831;-0.6691
58;Left Putamen                                             ;0;11.8626;66.1196;31.9687;4.8365;-2.947;-3.9088;-3.2204;-2.2913;-1.4984;-0.9217
59;Right Thalamus Proper                                    ;0;50.4073;45.1877;15.6819;2.0622;-7.9619;-4.7621;-0.5925;-0.0226;0;0.0001
60;Left Thalamus Proper                                     ;0;0.0002;109.4214;0.987;-1.6198;-2.791;-2.7351;-1.8269;-0.9246;-0.3793;-0.1319
61;Right Ventral DC                                         ;0;-0.0021;0.2272;112.8768;-2.6526;-3.6746;-2.9813;-1.9413;-1.0794;-0.5329;-0.2398
62;Left Ventral DC                                          ;0;4.4286;71.1026;35.7071;2.2725;-4.4908;-4.3816;-2.7134;-1.2763;-0.489;-0.1596
63;Right vessel                                             ;0;19.2856;101.4995;0.3857;-4.3595;-4.8771;-4.3237;-3.2705;-2.2025;-1.3574;-0.78
64;Left vessel                                              ;0;17.9214;43.8678;30.9141;14.4225;-1.0656;-6.2487;-0.0369;0.1646;0.048;0.013
69;Optic Chiasm                                             ;0;9.4037;71.5065;30.4852;1.6362;-3.8777;-3.9145;-2.7132;-1.5118;-0.7159;-0.2984
71;Cerebellar Vermal Lobules I-V                            ;0;19.9068;78.8473;20.1215;-4.0154;-13.0649;-1.7611;-0.0341;-0.0002;0;0
72;Cerebellar Vermal Lobules VI-VII                         ;0;36.2663;43.1174;21.6747;6.2387;-0.453;-2.2173;-2.0298;-1.3746;-0.8002;-0.4221
73;Cerebellar Vermal Lobules VIII-X                         ;0;0;3.0584;102.7184;8.4485;-4.8338;-4.2818;-2.7455;-1.4172;-0.622;-0.2407
75;Left Basal Forebrain                                     ;0;2.3005;49.0671;46.4053;17.3998;0.7664;-4.5875;-4.761;-3.3305;-1.9004;-0.9414
76;Right Basal Forebrain                                    ;0;49.8745;40.6784;19.1662;6.514;-13.8543;-2.6594;0.1946;0.0636;0.0176;0.0048
100;Right ACgG anterior cingulate gyrus                      ;0;69.4312;38.7625;9.1923;-1.3038;-6.295;-5.8079;-2.8441;-0.8968;-0.203;-0.0354
101;Left ACgG anterior cingulate gyrus                       ;0;6.9964;87.8713;18.3744;-2.1561;-3.4299;-2.9287;-2.117;-1.3632;-0.8042;-0.4429
102;Right AIns anterior insula                               ;0;7.7715;44.3542;37.1633;15.2114;2.2272;-2.0106;-2.236;-1.4339;-0.7281;-0.319
103;Left AIns anterior insula                                ;0;1.3836;92.6916;20.8662;-3.6749;-4.9111;-3.4569;-1.7966;-0.7515;-0.2669;-0.0834
104;Right AOrG anterior orbital gyrus                        ;0;1.0338;115.202;6.6827;-4.8581;-5.9772;-5.1343;-3.4857;-1.9973;-1.0068;-0.4591
105;Left AOrG anterior orbital gyrus                         ;0;18.4968;58.4289;34.5475;5.6445;-6.2708;-6.2494;-3.1414;-1.0956;-0.2952;-0.0653
106;Right AnG angular gyrus                                  ;0;26.7043;72.5733;20.1011;1.1722;-5.9417;-8.2309;-4.6642;-1.4129;-0.2666;-0.0347
107;Left AnG angular gyrus                                   ;0;0.923;48.8368;48.3891;15.7163;-3.375;-6.7598;-2.9724;-0.6592;-0.0902;-0.0085
108;Right Calc calcarine cortex                              ;0;17.249;55.9747;31.367;5.8139;-3.5343;-3.9298;-2.016;-0.7005;-0.1847;-0.0394
109;Left Calc calcarine cortex                               ;0;46.8244;37.5134;20.9357;10.0771;-10.9279;-5.6992;0.7527;0.325;0.1289;0.0504
112;Right CO central operculum                               ;0;3.655;46.4224;38.1201;16.3159;3.2832;-1.7039;-2.5362;-1.9036;-1.1052;-0.5477
113;Left CO central operculum                                ;0;28.9326;70.4305;17.3523;-2.1318;-5.4145;-4.5516;-2.6997;-1.2608;-0.4912;-0.1659
114;Right Cun cuneus                                         ;0;29.7758;60.41;25.0741;3.248;-5.0831;-6.4193;-4.2464;-1.921;-0.6572;-0.1809
115;Left Cun cuneus                                          ;0;26.8419;43.4833;26.6678;10.467;1.3712;-2.114;-2.6254;-2.0429;-1.3066;-0.7421
116;Right Ent entorhinal area                                ;0;0.0002;8.9459;65.7222;36.623;0.9171;-5.6818;-3.9655;-1.7827;-0.6094;-0.1691
117;Left Ent entorhinal area                                 ;0;0;55.5269;71.6618;-1.7065;-11.3918;-10.7352;-2.9822;-0.3504;-0.0217;-0.0008
118;Right FO frontal operculum                               ;0;33.2428;59.0156;20.9376;2.5773;-5.361;-6.4995;-3.0361;-0.7493;-0.1144;-0.012
119;Left FO frontal operculum                                ;0;13.7873;114.188;0.7933;-4.9768;-13.5608;-8.2376;-1.796;-0.186;-0.0109;-0.0004
