index;Label;avg_t0;avg_t1;avg_t2;avg_t3;avg_t4;avg_t5;avg_t6;avg_t7;avg_t8;avg_t9;avg_t10;max_t0;max_t1;max_t2;max_t3;max_t4;max_t5;max_t6;max_t7;max_t8;max_t9;max_t10;min_t0;min_t1;min_t2;min_t3;min_t4;min_t5;min_t6;min_t7;min_t8;min_t9;min_t10
4;3rd Ventricle                                            ;0;30.6662;49.7739;27.2833;7.2673;-3.0484;-5.3689;-3.8028;-1.8495;-0.7009;-0.2203;0;33.5758;53.049;32.0771;7.3175;-3.3116;-5.6491;-3.87;-1.8972;-0.8027;-0.2303;0;28.4434;46.0089;25.6129;5.9514;-2.6221;-4.61;-3.294;-1.775;-0.6182;-0.1919
11;4th Ventricle                                            ;0;0.9028;101.0457;15.8894;-1.1398;-6.2912;-6.4514;-2.9952;-0.7999;-0.1419;-0.0184;0;1.0049;112.5469;15.9742;-1.2548;-6.527;-6.4729;-3.0564;-0.8522;-0.1472;-0.02;0;0.8246;91.1287;14.8674;-1.0809;-6.1306;-6.2708;-2.7898;-0.6896;-0.1391;-0.0156
23;Right Accumbens Area                                     ;0;62.2574;40.6779;10.8578;-1.2991;-4.1186;-3.6035;-2.3609;-1.3188;-0.6593;-0.3028;0;63.7237;43.7118;11.2127;-1.3748;-5.2399;-3.7012;-2.3985;-1.4871;-0.6788;-0.344;0;57.3384;37.0458;10.655;-1.2554;-3.5709;-3.3683;-2.2461;-1.2487;-0.5891;-0.2923
30;Left Accumbens Area                                      ;0;8.6941;72.4662;30.7329;1.9886;-5.7864;-5.3058;-2.181;-0.518;-0.0813;-0.0092;0;9.657;73.8255;34.1003;2.1246;-6.268;-5.8703;-2.4324;-0.5224;-0.0933;-0.0097;0;8.5666;62.6987;26.3755;1.8966;-4.9586;-4.9845;-2.0156;-0.4484;-0.0583;-0.0089
31;Right Amygdala                                           ;0;45.5527;50.9667;16.721;0.815;-4.082;-4.3645;-3.0015;-1.6077;-0.7195;-0.2802;0;50.7247;52.3765;18.3569;0.8607;-4.2734;-4.3931;-3.3125;-1.91;-0.7396;-0.3239;0;45.2411;48.7333;14.9928;0.8062;-3.5321;-4.1569;-2.68;-1.4005;-0.5564;-0.2711
32;Left Amygdala                                            ;0;58.0521;31.6025;13.0753;3.396;-0.6286;-1.7111;-1.5786;-1.12;-0.6938;-0.3937;0;61.3079;32.791;13.3132;3.9547;-0.6434;-1.8981;-2.2244;-1.1227;-0.8546;-0.4666;0;52.6402;29.1763;10.5933;3.1201;-0.5878;-1.562;-1.4797;-1.0744;-0.6218;-0.3389
35;Brain Stem                                               ;0;37.6741;36.3159;20.1683;8.9453;3.3763;-7.1236;0.4379;0.1448;0.0465;0.0146;0;38.9375;39.3916;22.8612;9.0665;3.8885;-7.5283;0.4968;0.146;0.0483;0.0154;0;35.8093;34.742;19.5471;8.4;3.1924;-7.1141;0.3977;0.1398;0.0431;0.0144
36;Right Caudate                                            ;0;57.2259;44.485;17.4335;5.2603;-0.6738;-22.9409;-0.81;0.0159;0.0034;0.0007;0;60.6131;45.4166;18.1199;5.2881;-0.6812;-24.7119;-0.9816;0.0173;0.0038;0.0008;0;49.9106;37.9182;13.6185;4.6564;-0.6636;-22.5103;-0.7244;0.0151;0.0034;0.0007
37;Left Caudate                                             ;0;0;106.488;2.6293;-1.7115;-2.3099;-2.1049;-1.4803;-0.8662;-0.4418;-0.2026;0;0;109.3779;2.828;-1.7387;-2.5543;-2.2343;-1.5786;-0.9272;-0.4691;-0.2602;0;0;101.0569;2.1346;-1.6866;-1.93;-2.07;-1.4675;-0.7726;-0.3898;-0.1776
38;Right Cerebellum Exterior                                ;0;26.1181;49.6436;32.0018;14.3961;-13.2939;-9.5886;0.4869;0.1727;0.0495;0.0138;0;27.928;51.5794;32.1034;16.1944;-14.8318;-10.1165;0.5001;0.1742;0.0516;0.0172;0;24.7341;46.2211;27.9054;14.1312;-12.2663;-9.4814;0.4799;0.1633;0.042;0.0123
39;Left Cerebellum Exterior                                 ;0;34.244;53.3403;26.1106;4.7078;-3.7245;-5.2168;-4.2151;-2.7734;-1.6135;-0.8594;0;37.0927;55.2721;27.6652;4.8394;-3.9612;-5.7989;-4.5135;-2.8564;-1.6647;-0.9596;0;33.0449;50.8991;22.7963;4.312;-3.2698;-4.3601;-3.708;-2.6056;-1.6086;-0.7846
40;Right Cerebellum White Matter                            ;0;0.1997;99.4632;28.5987;-3.2669;-7.3695;-7.6968;-5.41;-2.8599;-1.2192;-0.4394;0;0.2128;104.2078;31.4788;-3.37;-7.6404;-7.8055;-5.587;-3.0714;-1.3006;-0.4703;0;0.1959;98.2371;26.1349;-3.1334;-7.2569;-6.6464;-4.7922;-2.3745;-1.1391;-0.4349
41;Left Cerebellum White Matter                             ;0;50.5232;70.7216;4.5353;-3.6367;-6.2266;-6.3787;-4.7452;-2.8022;-1.3896;-0.601;0;53.0499;73.0341;4.81;-4.0015;-6.4174;-7.0868;-4.7881;-2.804;-1.4016;-0.6213;0;49.6957;63.1272;4.4133;-3.2881;-6.1202;-5.3673;-4.6404;-2.6551;-1.3634;-0.5489
44;Right Cerebral White Matter                              ;0;0.0116;59.9299;53.13;0.3972;-8.7506;-4.3602;-0.3504;-0.0075;-0.0001;0;0;0.0121;69.9185;58.9127;0.4264;-8.7997;-4.5021;-0.366;-0.0082;-0.0001;0;0;0.0108;50.5032;45.7529;0.3842;-7.8393;-3.2132;-0.3059;-0.0073;-0.0001;0
45;Left Cerebral White Matter                               ;0;2.0996;60.6132;43.3408;5.2206;-3.4751;-3.5815;-2.3046;-1.1883;-0.5222;-0.2026;0;2.2802;74.3841;45.3074;5.8704;-3.7202;-3.7941;-2.7221;-1.3237;-0.5581;-0.224;0;1.6174;60.1458;30.1263;4.4707;-3.4012;-3.4212;-2.2912;-1.0047;-0.5029;-0.183
46;CSF                                                      ;0;28.5787;56.2069;26.6178;4.0984;-4.0954;-4.9019;-3.4007;-1.8615;-0.8749;-0.3675;0;34.4135;60.5125;26.7635;4.2858;-4.3919;-4.9895;-3.4088;-1.9038;-0.9603;-0.4039;0;27.3566;51.531;24.1374;3.671;-3.6709;-4.5467;-3.0567;-1.8263;-0.7431;-0.3343
47;Right Hippocampus                                        ;0;21.5866;71.5166;21.4441;-2.5562;-6.129;-3.8196;-1.4984;-0.429;-0.0969;-0.0182;0;22.6731;80.5992;23.6868;-2.7958;-6.1317;-4.0053;-1.6458;-0.432;-0.0972;-0.0218;0;18.1073;66.4452;19.5473;-2.1459;-6.0755;-3.8075;-1.3649;-0.3615;-0.0914;-0.0174
48;Left Hippocampus                                         ;0;1.7848;48.8988;49.1627;12.4725;-2.0677;-4.2723;-3.175;-1.7348;-0.7737;-0.2953;0;2.05;58.8588;54.3982;16.366;-2.1542;-5.1877;-3.2705;-1.9321;-0.8147;-0.2962;0;1.6686;39.6864;45.7964;12.3989;-2.0655;-4.1598;-3.1418;-1.4496;-0.7253;-0.2895
49;Right Inf Lat Vent                                       ;0;42.1503;41.0609;22.0487;7.5367;-2.5536;-5.3917;-3.3283;-1.1943;-0.2849;-0.0438;0;47.0562;42.1144;23.2969;7.7249;-2.6628;-6.0363;-4.1638;-1.4076;-0.3415;-0.0443;0;38.1319;33.4725;20.1821;7.2902;-2.4095;-5.3083;-3.0391;-1.1351;-0.2734;-0.0429
50;Left Inf Lat Vent                                        ;0;50.4526;37.9642;17.384;3.1238;-3.1228;-3.2891;-1.7034;-0.6086;-0.1655;-0.0352;0;58.3568;44.1814;18.2075;3.3774;-3.289;-3.2935;-1.7278;-0.6822;-0.1941;-0.0363;0;45.2128;37.1742;15.7845;2.8087;-2.8834;-3.161;-1.6088;-0.6077;-0.1561;-0.0337
51;Right Lateral Ventricle                                  ;0;13.8365;46.7619;34.3484;13.4504;1.3725;-3.0768;-3.2716;-2.061;-0.9794;-0.3808;0;14.7901;47.5967;39.6812;13.7201;1.4706;-3.6333;-3.3286;-2.0962;-1.1202;-0.4501;0;13.0706;45.2498;28.5712;13.1362;1.3191;-2.9546;-3.2097;-1.9614;-0.837;-0.3345
52;Left Lateral Ventricle                                   ;0;36.0494;44.7579;21.423;5.1036;-1.1343;-2.3146;-1.8391;-1.1341;-0.611;-0.3008;0;39.0464;45.0342;25.6394;5.7545;-1.1406;-2.4253;-1.9061;-1.1914;-0.6653;-0.3106;0;34.2947;44.3565;19.8698;4.7729;-0.993;-2.1336;-1.5805;-0.9968;-0.5782;-0.255
55;Right Pallidum                                           ;0;22.4049;48.3554;28.9614;8.2651;-0.6591;-2.6225;-2.1993;-1.3814;-0.7518;-0.3727;0;23.5637;54.049;32.7531;8.2781;-0.6795;-2.7572;-2.3165;-1.5133;-0.8365;-0.4083;0;20.5457;39.7592;25.7721;8.0728;-0.5542;-2.4241;-2.0174;-1.2648;-0.7068;-0.3704
56;Left Pallidum                                            ;0;19.5148;55.5114;31.4315;8.206;-6.7484;-6.2199;-1.5304;-0.1594;-0.0063;0.0005;0;20.2072;61.4697;34.9689;9.4877;-7.5907;-6.6464;-1.6975;-0.1848;-0.0071;0.0006;0;15.6876;47.3723;30.5514;7.9778;-6.5083;-5.631;-1.4237;-0.1244;-0.0061;0.0004
57;Right Putamen                                            ;0;3.7565;69.8053;37.4903;3.3912;-3.5762;-3.8027;-2.9102;-1.9451;-1.1831;-0.6691;0;4.0904;70.2999;43.6255;3.6642;-3.7851;-4.1607;-2.9577;-2.3199;-1.4803;-0.685;0;3.2449;58.7514;37.0673;3.3698;-3.2632;-3.4889;-2.755;-1.9097;-0.9881;-0.6649
58;Left Putamen                                             ;0;11.8626;66.1196;31.9687;4.8365;-2.947;-3.9088;-3.2204;-2.2913;-1.4984;-0.9217;0;12.717;70.2404;36.2582;4.9325;-3.0562;-4.2384;-3.2935;-2.3221;-1.5689;-0.9967;0;11.8393;54.5173;29.9299;4.754;-2.8245;-3.7868;-2.8347;-2.0687;-1.4454;-0.795
