fragment_description,3rd Ventricle,4th Ventricle,Right Accumbens Area,Left Accumbens Area,Right Amygdala,Left Amygdala,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lobules VIII-X,Left Basal Forebrain,Right Basal Forebrain,Right ACgG anterior cingulate gyrus,Left ACgG anterior cingulate gyrus,Right AIns anterior insula,Left AIns anterior insula,Right AOrG anterior orbital gyrus,Left AOrG anterior orbital gyrus,Right AnG angular gyrus,Left AnG angular gyrus,Right Calc calcarine cortex,Left Calc calcarine cortex,Right CO central operculum,Left CO central operculum,Right Cun cuneus,Left Cun cuneus,Right Ent entorhinal area,Left Ent entorhinal area,Right FO frontal operculum,Left FO frontal operculum,Right FRP frontal pole,Left FRP frontal pole,Right FuG fusiform gyrus,Left FuG fusiform gyrus,Right GRe gyrus rectus,Left GRe gyrus rectus,Right IOG inferior occipital gyrus,Left IOG inferior occipital gyrus,Right ITG inferior temporal gyrus,Left ITG inferior temporal gyrus,Right LiG lingual gyrus,Left LiG lingual gyrus,Right LOrG lateral orbital gyrus,Left LOrG lateral orbital gyrus,Right MCgG middle cingulate gyrus,Left MCgG middle cingulate gyrus,Right MFC medial frontal cortex,Left MFC medial frontal cortex,Right MFG middle frontal gyrus,Left MFG middle frontal gyrus,Right MOG middle occipital gyrus,Left MOG middle occipital gyrus,Right MOrG medial orbital gyrus,Left MOrG medial orbital gyrus,Right MPoG postcentral gyrus medial segment,Left MPoG postcentral gyrus medial segment,Right MPrG precentral gyrus medial segment,Left MPrG precentral gyrus medial segment,Right MSFG superior frontal gyrus medial segment,Left MSFG superior frontal gyrus medial segment,Right MTG middle temporal gyrus,Left MTG middle temporal gyrus,Right OCP occipital pole,Left OCP occipital pole,Right OFuG occipital fusiform gyrus,Left OFuG occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG posterior cingulate gyrus,Left PCgG posterior cingulate gyrus,Right PCu precuneus,Left PCu precuneus,Right PHG parahippocampal gyrus,Left PHG parahippocampal gyrus,Right PIns posterior insula,Left PIns posterior insula,Right PO parietal operculum,Left PO parietal operculum,Right PoG postcentral gyrus,Left PoG postcentral gyrus,Right POrG posterior orbital gyrus,Left POrG posterior orbital gyrus,Right PP planum polare,Left PP planum polare,Right PrG precentral gyrus,Left PrG precentral gyrus,Right PT planum temporale,Left PT planum temporale,Right SCA subcallosal area,Left SCA subcallosal area,Right SFG superior frontal gyrus,Left SFG superior frontal gyrus,Right SMC supplementary motor cortex,Left SMC supplementary motor cortex,Right SMG supramarginal gyrus,Left SMG supramarginal gyrus,Right SOG superior occipital gyrus,Left SOG superior occipital gyrus,Right SPL superior parietal lobule,Left SPL superior parietal lobule,Right STG superior temporal gyrus,Left STG superior temporal gyrus,Right TMP temporal pole,Left TMP temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG transverse temporal gyrus,Left TTG transverse temporal gyrus,Total Cerebral Grey Matter,Right Cerebral Grey Matter,Left Cerebral Grey Matter,Total Cerebral White Matter
F-Volume-age:series:11.9685,0.0005806794,0.0012523706,0.0003206954,0.0003537823,0.0005906995,0.0005926706,0.010088559,0.0021509625,0.002108096,0.0333246804,0.0331081751,0.0080845326,0.0082314319,0.1342918733,0.1314637283,0.0005991434,0.0022412498,0.0021178814,0.0003181883,0.0002785046,0.0041800889,0.0049201459,0.0006993497,0.000673058,0.0032490327,0.0034164552,0.0049691045,0.0051496686,0.0026379878,0.0027365817,0.0031800063,0.0015055629,0.0018781948,0.0003112604,0.0003101397,0.0028886945,0.0032563813,0.0028806076,0.0029440907,0.0014168361,0.0012631029,0.0082050584,0.0075840191,0.0023220249,0.0022777846,0.0028937896,0.0028607714,0.0035972302,0.0033744376,0.0012155792,0.0011807963,0.0015042275,0.0015082083,0.002755414,0.0025253042,0.0055379185,0.0052829052,0.0016267951,0.0016811291,0.0051086609,0.0048838282,0.008934032,0.0085217683,0.0056826467,0.0052284049,0.0017936806,0.0019412769,0.0035786636,0.0034702477,0.0013422368,0.0013482747,0.014215658,0.0143086361,0.0041535785,0.004969787,0.0030306503,0.0031954277,0.000771933,0.0007849674,0.0019090872,0.0018353873,0.0057299265,0.0049120092,0.0112023731,0.0111099998,0.0021037659,0.0024458077,0.0030701891,0.0030311713,0.0026925507,0.0026576356,0.0012212168,0.0012097367,0.0031381534,0.003275298,0.0080672929,0.0080377407,0.0020327513,0.0021884904,0.0015367392,0.0015693708,0.0015777509,0.0017247146,0.0079175309,0.0089593238,0.0018397811,0.0019642007,0.0014268657,0.0015844256,0.0094126847,0.0094924373,0.0014524231,0.0015309403,0.0008589624,0.0008806355,0.0109876107,0.0109514827,0.0039480238,0.0038751052,0.0065856396,0.0072273372,0.0032603055,0.0028656719,0.0078492967,0.0080839452,0.0057626692,0.0058251551,0.0059657254,0.0057601532,0.0028428067,0.0030885296,0.0010314979,0.0011517865,0.4371382542,0.2180498791,0.2190883751,0.2657556016
F-Volume-age:series:12.5474,0.0005654358,0.001250457,0.0003212357,0.0003549359,0.0005901809,0.000592683,0.0101646842,0.0021571853,0.0021113089,0.0334683571,0.0332585423,0.0081196319,0.008286105,0.1348572349,0.1321358825,0.0005908723,0.0022375433,0.002120146,0.0003082118,0.0002715786,0.0040724448,0.0047683055,0.000699943,0.0006777687,0.0032536323,0.0034177258,0.0049835626,0.0051613811,0.0026542859,0.0027568173,0.0031806996,0.0015143011,0.001891452,0.0003107002,0.0003098896,0.0028714765,0.0032507136,0.0028643754,0.0029373743,0.0014216034,0.0012652294,0.0081674908,0.0075510561,0.0023047707,0.0022580156,0.0028874223,0.0028636721,0.0035619082,0.0033423893,0.0012108727,0.0011793569,0.0014937974,0.0015045973,0.0027528063,0.0025250737,0.0055155243,0.0052789304,0.0016151833,0.0016745312,0.005069204,0.0048542804,0.0088862386,0.0085103699,0.0056541682,0.0052123894,0.0017962959,0.0019417313,0.0035328956,0.0034514746,0.0013358973,0.0013486227,0.0141617203,0.0142177282,0.0041301513,0.0049443139,0.0030213932,0.0031885598,0.0007700946,0.0007760238,0.0019076875,0.0018207446,0.0057042177,0.0049040819,0.0111609629,0.0110895931,0.0020982969,0.0024285527,0.0030507375,0.0030184371,0.0026745555,0.0026441482,0.0012179128,0.0012083725,0.0031145912,0.0032576798,0.0080141656,0.0080037677,0.0020190933,0.0021781608,0.0015324798,0.0015651241,0.0015692094,0.0017256793,0.0078940325,0.0089304902,0.0018322465,0.0019631872,0.0014200844,0.0015802549,0.0094114299,0.0094480764,0.0014415983,0.0015300872,0.0008536748,0.0008761245,0.0109501702,0.0109235064,0.003921952,0.0038645252,0.0065487131,0.0072194855,0.0032247413,0.0028303511,0.0078068963,0.0080298223,0.0057396739,0.0058080417,0.0059459115,0.0057588974,0.002833048,0.0030754183,0.001028153,0.0011496571,0.4355611527,0.2171497952,0.2184113576,0.2669931174
F-Volume-age:series:13.1283,0.0005544413,0.0012582722,0.0003228644,0.0003574608,0.0005904142,0.0005940394,0.0102304143,0.0021730456,0.0021233564,0.0335683215,0.0333741955,0.0081391382,0.0083179409,0.1352509425,0.1326148164,0.0005879374,0.0022395574,0.0021264432,0.0003036111,0.0002710448,0.0040361453,0.0047080333,0.0007009788,0.00068271,0.003266306,0.0034263211,0.0050045632,0.0051799538,0.0026722268,0.0027791551,0.0031759987,0.0015230731,0.0019060667,0.0003106451,0.0003099786,0.002859023,0.0032459952,0.0028485904,0.0029315325,0.0014260572,0.0012663368,0.0081293041,0.007494928,0.0022837159,0.0022370927,0.0028770202,0.0028706669,0.0035258252,0.0033147642,0.0012068688,0.0011785083,0.0014810704,0.0014981367,0.0027522212,0.0025264818,0.0054870387,0.0052689614,0.0016023553,0.0016654637,0.0050298258,0.0048171201,0.0088308898,0.0084955508,0.0056315901,0.0052082444,0.0017970996,0.0019399962,0.0034954406,0.0034367585,0.001330515,0.0013495906,0.0141051148,0.0141460462,0.004095623,0.0049070187,0.0030107288,0.0031804358,0.0007712385,0.0007663466,0.0019044469,0.0018079832,0.0056832097,0.0048990928,0.011118253,0.0110574562,0.0020843016,0.0024032139,0.0030371615,0.0030096871,0.0026591932,0.0026312767,0.0012128593,0.0012056564,0.0030970043,0.0032456484,0.0079712797,0.007975187,0.0020082067,0.0021688172,0.0015318378,0.0015651187,0.0015663264,0.0017289479,0.0078788704,0.0089223933,0.0018247166,0.0019625045,0.0014154194,0.0015771709,0.0094067361,0.0094032362,0.0014372062,0.0015289494,0.000851017,0.0008732353,0.0109249602,0.0109040363,0.0038996747,0.0038549454,0.0065093464,0.007205773,0.0031905599,0.0027921222,0.0077688854,0.0079691301,0.0057187681,0.0057862379,0.0059280295,0.0057646138,0.0028202071,0.0030617485,0.0010286096,0.0011494278,0.4341138497,0.2163348447,0.217779005,0.2678657589
F-Volume-age:series:13.7051,0.0005413318,0.0012792302,0.0003243798,0.0003594799,0.0005896978,0.0005954799,0.0103130662,0.0021887515,0.0021353715,0.0336978348,0.0335236288,0.0081716484,0.0083671658,0.135411947,0.1329130783,0.0005856977,0.0022420506,0.0021349029,0.0003005842,0.000271188,0.0040022451,0.0046654006,0.0007029561,0.0006895103,0.0032754613,0.0034318374,0.0050231937,0.0051965715,0.0026910857,0.0028028365,0.0031760655,0.001532151,0.001919069,0.0003102057,0.0003094882,0.0028397946,0.0032365221,0.0028226255,0.0029170117,0.0014284351,0.0012641165,0.0081116056,0.0074622831,0.0022659146,0.0022163433,0.0028550169,0.002868141,0.0034929983,0.0032860874,0.0012002133,0.0011775661,0.0014662336,0.0014874386,0.0027456886,0.0025231081,0.0054630322,0.0052679002,0.0015852701,0.0016525529,0.0050036855,0.0047962967,0.0087698451,0.0084844634,0.0056072649,0.0052073094,0.0017946165,0.0019357206,0.0034611566,0.0034213618,0.0013220917,0.0013482398,0.0140286907,0.0140756445,0.0040773974,0.0048888418,0.0029958925,0.003165021,0.0007707962,0.0007574597,0.0018958693,0.0017956774,0.0056599518,0.0048923888,0.0110603265,0.0110296991,0.0020745577,0.002387538,0.00302777,0.0030081245,0.0026496998,0.0026174046,0.0012032076,0.0011998328,0.0030729946,0.0032257607,0.007910898,0.0079240244,0.0019981967,0.0021616655,0.0015262351,0.0015571416,0.0015608116,0.0017223557,0.0078731716,0.0089297881,0.0018133706,0.0019563854,0.0014094938,0.0015686997,0.0093954111,0.0093701573,0.001430185,0.0015161635,0.0008453327,0.0008689476,0.0109132387,0.0108881012,0.0038818087,0.0038491418,0.0064853262,0.0072027683,0.003175612,0.0027678546,0.0077434765,0.0079193294,0.0056933288,0.0057581968,0.0058913929,0.005749999,0.0027973958,0.0030362371,0.0010278125,0.0011399997,0.4326112135,0.215472923,0.2171382905,0.2683250253
F-Volume-age:series:14.2813,0.0005296584,0.0012943534,0.0003263473,0.0003623083,0.0005901885,0.0005982408,0.0103926683,0.0022148552,0.0021572472,0.0337762766,0.0336139684,0.0081978982,0.0084097831,0.1356792648,0.1333215916,0.0005828848,0.0022450529,0.0021444972,0.0003009301,0.0002729978,0.0039688089,0.004626764,0.0007045736,0.0006951905,0.0032928991,0.0034456687,0.0050382257,0.005211543,0.0027086681,0.0028252892,0.0031775115,0.0015423427,0.0019282758,0.0003104552,0.0003095535,0.0028252237,0.0032325296,0.0028020433,0.0029061876,0.001431441,0.001262002,0.0080871517,0.007426221,0.0022523431,0.0022015802,0.0028340752,0.0028661722,0.0034653088,0.0032582706,0.0011937855,0.0011770237,0.0014519881,0.001474068,0.0027401416,0.0025190547,0.0054440505,0.0052660505,0.0015669526,0.0016360368,0.0049787401,0.0047825815,0.0087210916,0.0084803554,0.0055868811,0.0052043666,0.0017947468,0.0019319791,0.0034355642,0.0034128876,0.0013153908,0.0013467396,0.0139857631,0.014029216,0.0040602192,0.0048763771,0.0029812073,0.003148533,0.0007710993,0.0007522326,0.001889185,0.0017910362,0.005640844,0.0048874213,0.0110142881,0.0110045751,0.0020648113,0.0023724273,0.0030251845,0.0030090284,0.0026431494,0.0026010157,0.0011973207,0.0011933224,0.0030521395,0.0032128216,0.0078655199,0.0078840673,0.0019900616,0.0021544645,0.0015259742,0.001553188,0.0015591673,0.0017198706,0.0078744643,0.0089305825,0.001805078,0.0019524245,0.0014068361,0.0015619236,0.0093704244,0.0093417484,0.0014245503,0.0015065402,0.0008409051,0.0008661311,0.0109168244,0.0108771627,0.0038684838,0.0038468141,0.0064631099,0.0071927776,0.0031671401,0.0027482691,0.0077264699,0.0078770416,0.0056701654,0.0057342274,0.0058554114,0.0057277676,0.0027803647,0.0030109433,0.0010278649,0.0011335385,0.4314533472,0.2148222129,0.2166311343,0.2690008564
F-Volume-age:series:14.8634,0.0005243806,0.0013006142,0.0003261804,0.0003624485,0.0005876788,0.0005956114,0.0104300407,0.0022322674,0.0021715937,0.0336801594,0.0335444756,0.0082095997,0.0084332491,0.135783152,0.1334704315,0.0005827701,0.0022387781,0.0021399214,0.000302069,0.0002722643,0.0040148287,0.0047164476,0.0007028533,0.0006972021,0.0032888725,0.0034330884,0.0050344461,0.0051998417,0.0027156437,0.0028333963,0.0031727503,0.0015458481,0.0019239717,0.0003092995,0.0003082236,0.0028082907,0.0032228074,0.0027758611,0.0028816798,0.0014349723,0.0012583408,0.0080156638,0.0073606832,0.0022407766,0.0021899108,0.0028053151,0.0028509516,0.0034328642,0.0032223144,0.001181597,0.0011670613,0.0014348213,0.0014536308,0.0027309996,0.0025109711,0.0054066514,0.0052407704,0.0015469342,0.0016178223,0.0049393992,0.0047585334,0.0086405549,0.0084317465,0.0055519666,0.0051884189,0.0017942121,0.0019257259,0.0034107002,0.003403441,0.00130535,0.0013406107,0.0139145994,0.0139527515,0.0040281483,0.0048441995,0.0029658793,0.0031290867,0.0007655295,0.0007439401,0.0018713445,0.001781195,0.0056059869,0.0048726949,0.0109173853,0.0109189744,0.0020550235,0.0023623951,0.0030128601,0.0030024827,0.0026250087,0.0025724816,0.0011915765,0.0011843959,0.0030216911,0.0031893658,0.0077923816,0.0078050002,0.001978245,0.0021366639,0.0015203214,0.0015427686,0.0015530722,0.001713193,0.007845268,0.0088931403,0.0017954741,0.0019454932,0.0014012104,0.001550433,0.0093128896,0.0092875378,0.0014144508,0.0014942011,0.0008359576,0.0008633714,0.0108888892,0.010817934,0.0038448939,0.0038367759,0.0064171057,0.0071594971,0.0031552579,0.0027231377,0.0076911613,0.0078099129,0.0056268966,0.0056855968,0.0057958031,0.0056657909,0.0027561137,0.0029757719,0.0010258441,0.0011261813,0.4288723309,0.2135192192,0.2153531117,0.2692535835
F-Volume-age:series:15.4396,0.0005188353,0.0013142872,0.0003261846,0.0003627798,0.000583613,0.000590678,0.0104358628,0.0022505406,0.002186128,0.0335893164,0.0334536392,0.0082114546,0.0084409007,0.1357964667,0.1334763837,0.0005848348,0.0022294593,0.0021284664,0.0003047134,0.0002689562,0.0040618903,0.0047609133,0.0006970437,0.0006947669,0.0032832622,0.0034177071,0.0050272614,0.0051831961,0.002715213,0.0028323854,0.0031752583,0.0015464291,0.0019145734,0.0003079827,0.0003067347,0.0027918179,0.0032122886,0.0027520883,0.0028579626,0.0014375626,0.0012522687,0.0079303088,0.007282427,0.0022345859,0.0021798416,0.0027744434,0.0028339346,0.0033976426,0.0031854988,0.0011670868,0.0011544162,0.00141849,0.0014348842,0.0027274358,0.0025070843,0.0053555532,0.0052035591,0.001529138,0.0015999913,0.0048883752,0.0047184012,0.008520931,0.0083455404,0.0055110114,0.0051610024,0.0017929958,0.0019180549,0.0033806173,0.0033904559,0.0012952931,0.0013342947,0.013868027,0.0139028272,0.003984829,0.0047941252,0.0029497305,0.0031057249,0.0007613025,0.0007338962,0.0018491691,0.0017682633,0.0055749816,0.0048617989,0.0107831556,0.0107850557,0.0020504675,0.0023559675,0.002994413,0.0029917045,0.0026087894,0.00254505,0.0011844821,0.0011778984,0.0029837921,0.0031622765,0.0077003122,0.0077115905,0.0019635936,0.0021138354,0.0015131231,0.0015289049,0.0015482277,0.0017032256,0.0078220012,0.0088648247,0.0017830249,0.0019353885,0.0013926859,0.001533819,0.0092601371,0.0092592923,0.0014046287,0.001477511,0.0008303829,0.0008601508,0.0108690434,0.0107780019,0.0038125084,0.0038170875,0.0063742509,0.0071042934,0.0031355826,0.0026988056,0.007646041,0.0077293392,0.0055772664,0.0056187623,0.0057300715,0.0056016119,0.0027324532,0.002940373,0.0010215914,0.0011160971,0.4258882547,0.2120360029,0.2138522519,0.2692728504
F-Volume-age:series:15.9784,0.0005112907,0.0013261005,0.0003264101,0.0003634345,0.0005813662,0.0005876045,0.0104496279,0.0022741868,0.0022052795,0.03349615,0.0333733437,0.0082308032,0.0084594637,0.1356902256,0.133389519,0.0005884013,0.0022238521,0.0021219902,0.0003061641,0.0002651393,0.0040637202,0.0047906874,0.0006926681,0.0006930314,0.0032846291,0.0034098501,0.0050280259,0.005175521,0.0027156669,0.0028317157,0.0031682389,0.0015459814,0.0019015595,0.0003068365,0.000305417,0.0027924934,0.0032170025,0.0027341112,0.0028404061,0.0014373218,0.0012470264,0.0078599148,0.0072259223,0.0022246655,0.0021679667,0.0027493298,0.0028181654,0.0033674311,0.0031512606,0.001155637,0.0011441643,0.0014057118,0.001420019,0.0027340204,0.0025123613,0.0053106606,0.0051806639,0.0015275645,0.001598296,0.0048389303,0.0046948647,0.0084193244,0.0082702445,0.0054729385,0.0051388794,0.0017875379,0.0019049282,0.0033700522,0.0033933386,0.0012941153,0.0013353042,0.0138671239,0.0138899492,0.0039490199,0.0047563345,0.0029434258,0.0030972781,0.0007589532,0.0007260033,0.0018327424,0.0017602065,0.00557095,0.0048705884,0.0106763462,0.0106694374,0.0020447065,0.0023569237,0.0029795927,0.0029865664,0.0025992213,0.0025220602,0.0011775943,0.0011685205,0.002957204,0.0031438467,0.0076266246,0.0076277206,0.0019542004,0.0020972007,0.0015110743,0.0015186125,0.0015431166,0.0016893186,0.0077942862,0.0088258424,0.001767955,0.0019238914,0.0013876274,0.0015192419,0.0092103689,0.0092325128,0.0013968324,0.0014623031,0.000825475,0.0008578908,0.0108756075,0.0107675619,0.0037940651,0.0038138925,0.0063374224,0.0070495742,0.0031199774,0.0026774559,0.0076145602,0.0076723681,0.0055497428,0.0055713753,0.0056772222,0.0055499889,0.0027162956,0.0029049838,0.0010189949,0.0011070773,0.423764917,0.210993731,0.212771186,0.2690797446
F-Volume-age:series:16.4757,0.0005100419,0.0013374029,0.0003268328,0.0003644307,0.0005795305,0.000585442,0.0104826161,0.0022959132,0.0022251883,0.0334376022,0.0333171023,0.0082635894,0.0084913493,0.1356095584,0.1333984932,0.0005924735,0.0022207009,0.0021172387,0.0003107916,0.0002651642,0.0040934427,0.0048687535,0.0006903653,0.0006931605,0.0032893894,0.0034068918,0.0050293488,0.0051703523,0.0027199647,0.0028366963,0.0031687722,0.0015436321,0.0018891948,0.0003058263,0.0003040845,0.0027885296,0.0032178298,0.0027208405,0.002827773,0.0014317184,0.0012395224,0.0077868421,0.0071611364,0.0022104301,0.0021537856,0.0027252405,0.0027977074,0.0033325709,0.0031147357,0.0011433552,0.0011345232,0.0013966802,0.001406616,0.002732893,0.0025183261,0.0052665655,0.0051521679,0.0015265255,0.001596271,0.0047987267,0.0046706908,0.0083279118,0.0082088984,0.0054377601,0.0051153967,0.0017780266,0.0018890683,0.0033579801,0.0033934937,0.0012909288,0.0013350326,0.0138527805,0.0138699341,0.0039156447,0.0047213792,0.0029334994,0.0030894144,0.0007564212,0.0007181387,0.0018152244,0.0017525623,0.005559344,0.0048740566,0.0105863817,0.0105795411,0.0020385266,0.0023589124,0.0029677755,0.0029798067,0.0025874153,0.0025007106,0.0011707686,0.0011596354,0.0029310683,0.0031241117,0.0075543478,0.0075429342,0.001944744,0.0020809869,0.0015129271,0.0015104683,0.0015374453,0.0016761484,0.0077481434,0.0087748745,0.0017490617,0.0019111564,0.0013828887,0.0015070703,0.0091383854,0.0091867247,0.0013871559,0.0014455724,0.0008219379,0.0008565736,0.0108666454,0.0107508065,0.003771739,0.0038031261,0.0062955951,0.006989383,0.0030995569,0.0026610947,0.0075436013,0.0076035198,0.0055221917,0.0055291365,0.0056284941,0.0055058959,0.0027027108,0.0028766043,0.0010170236,0.0010984027,0.4215259853,0.2098508428,0.2116751425,0.2690080517
F-Volume-age:series:16.9187,0.0005131219,0.0013489379,0.0003275477,0.0003657952,0.0005780562,0.0005836181,0.0105353053,0.0023190106,0.0022463901,0.0332935457,0.0331822472,0.008294186,0.0085202808,0.1355039674,0.1334184937,0.0005978584,0.0022175402,0.002113549,0.0003162362,0.0002670834,0.0041562316,0.0049779058,0.0006878269,0.0006931201,0.0032972829,0.0034081119,0.00503438,0.005171041,0.0027263726,0.0028432743,0.0031686571,0.0015393956,0.0018731068,0.0003049117,0.0003032358,0.0027904259,0.0032216338,0.0027079823,0.0028155611,0.0014226272,0.001227904,0.0077230162,0.0070916893,0.0022031877,0.0021451799,0.0027048088,0.0027823488,0.0033031958,0.0030851574,0.0011331,0.0011252386,0.0013873747,0.0013943392,0.0027268969,0.0025165328,0.0052263979,0.0051197234,0.0015262903,0.0015948739,0.0047696163,0.0046457792,0.0082452285,0.0081464077,0.0054105064,0.0050952829,0.0017635903,0.0018702768,0.0033490777,0.003396345,0.001288454,0.0013333594,0.0138669925,0.0138708043,0.0038800933,0.0046823143,0.0029235555,0.0030808609,0.0007558083,0.0007147049,0.0018025159,0.0017529566,0.0055560477,0.0048777887,0.0104846821,0.0104878528,0.0020367895,0.0023591625,0.0029574132,0.0029739001,0.0025770616,0.0024848526,0.0011638834,0.0011512971,0.0029044976,0.0031070662,0.0074824475,0.0074645636,0.0019368895,0.0020666167,0.0015151233,0.0015035657,0.0015317084,0.0016639189,0.0077124857,0.0087462545,0.0017346169,0.0019004917,0.0013787935,0.0014951397,0.0090695713,0.0091575422,0.0013773667,0.0014273178,0.0008195261,0.0008568475,0.0108526434,0.0107451643,0.0037571988,0.0038040286,0.0062619523,0.006943814,0.0030854345,0.0026454889,0.0074971701,0.0075438645,0.0054917124,0.005487092,0.0055871503,0.0054664589,0.0026898286,0.0028516602,0.0010148444,0.0010894052,0.4196190744,0.2088805097,0.2107385647,0.2689224611
